individual	pedigree	fullSampleName	family
CNJ02_1_48	CQxMQ	CNJ02_1_48:250382107	CNJ02
CNJ02_1_49	CQxMQ	CNJ02_1_49:250382108	CNJ02
CNJ02_1_5	CQxMQ	CNJ02_1_5:250382057	CNJ02
CNJ02_1_50	CQxMQ	CNJ02_1_50:250382109	CNJ02
CNJ02_1_51	CQxMQ	CNJ02_1_51:250382110	CNJ02
CNJ02_1_52	CQxMQ	CNJ02_1_52:250382111	CNJ02
CNJ02_1_53	CQxMQ	CNJ02_1_53:250382112	CNJ02
CNJ02_1_54	CQxMQ	CNJ02_1_54:250382113	CNJ02
CNJ02_1_55	CQxMQ	CNJ02_1_55:250382114	CNJ02
CNJ02_1_56	CQxMQ	CNJ02_1_56:250382115	CNJ02
CNJ02_1_57	CQxMQ	CNJ02_1_57:250382116	CNJ02
CNJ02_1_58	CQxMQ	CNJ02_1_58:250382117	CNJ02
CNJ02_1_59	CQxMQ	CNJ02_1_59:250382118	CNJ02
CNJ02_1_6	CQxMQ	CNJ02_1_6:250382058	CNJ02
CNJ02_1_60	CQxMQ	CNJ02_1_60:250382119	CNJ02
CNJ02_1_61	CQxMQ	CNJ02_1_61:250382120	CNJ02
CNJ02_1_62	CQxMQ	CNJ02_1_62:250382121	CNJ02
CNJ02_1_63	CQxMQ	CNJ02_1_63:250382122	CNJ02
CNJ02_1_64	CQxMQ	CNJ02_1_64:250382123	CNJ02
CNJ02_1_65	CQxMQ	CNJ02_1_65:250382124	CNJ02
CNJ02_1_66	CQxMQ	CNJ02_1_66:250382125	CNJ02
CNJ02_1_67	CQxMQ	CNJ02_1_67:250382126	CNJ02
CNJ02_1_68	CQxMQ	CNJ02_1_68:250382127	CNJ02
CNJ02_1_69	CQxMQ	CNJ02_1_69:250382128	CNJ02
CNJ02_1_7	CQxMQ	CNJ02_1_7:250382059	CNJ02
CNJ02_1_70	CQxMQ	CNJ02_1_70:250382129	CNJ02
CNJ02_1_71	CQxMQ	CNJ02_1_71:250382130	CNJ02
CNJ02_1_72	CQxMQ	CNJ02_1_72:250382131	CNJ02
CNJ02_1_73	CQxMQ	CNJ02_1_73:250382132	CNJ02
CNJ02_1_74	CQxMQ	CNJ02_1_74:250382133	CNJ02
CNJ02_1_75	CQxMQ	CNJ02_1_75:250382134	CNJ02
CNJ02_1_76	CQxMQ	CNJ02_1_76:250382135	CNJ02
CNJ02_1_77	CQxMQ	CNJ02_1_77:250382136	CNJ02
CNJ02_1_78	CQxMQ	CNJ02_1_78:250382137	CNJ02
CNJ02_1_79	CQxMQ	CNJ02_1_79:250382138	CNJ02
CNJ02_1_8	CQxMQ	CNJ02_1_8:250382060	CNJ02
CNJ02_1_80	CQxMQ	CNJ02_1_80:250382139	CNJ02
CNJ02_1_81	CQxMQ	CNJ02_1_81:250382140	CNJ02
CNJ02_1_82	CQxMQ	CNJ02_1_82:250382141	CNJ02
CNJ02_1_83	CQxMQ	CNJ02_1_83:250382142	CNJ02
CNJ02_1_84	CQxMQ	CNJ02_1_84:250382143	CNJ02
CNJ02_1_85	CQxMQ	CNJ02_1_85:250382144	CNJ02
CNJ02_1_86	CQxMQ	CNJ02_1_86:250382145	CNJ02
CNJ02_1_87	CQxMQ	CNJ02_1_87:250382146	CNJ02
CNJ02_1_88	CQxMQ	CNJ02_1_88:250382147	CNJ02
CNJ02_1_89	CQxMQ	CNJ02_1_89:250382148	CNJ02
CNJ02_1_9	CQxMQ	CNJ02_1_9:250382061	CNJ02
CNJ02_1_90	CQxMQ	CNJ02_1_90:250382180	CNJ02
CNJ02_1_91	CQxMQ	CNJ02_1_91:250382181	CNJ02
CNJ02_1_92	CQxMQ	CNJ02_1_92:250382182	CNJ02
CNJ02_1_93	CQxMQ	CNJ02_1_93:250382183	CNJ02
CNJ02_1_94	CQxMQ	CNJ02_1_94:250382184	CNJ02
CNJ02_1_95	CQxMQ	CNJ02_1_95:250382185	CNJ02
CNJ02_1_96	CQxMQ	CNJ02_1_96:250382186	CNJ02
